"Product Id","Product Name","Web Price","Cost Price","Discount Type","Discount Value","Bulk Discount Exists"
"542800","3M Scaleguard Water Filters","24.99","0.00","0","0.00","N"
"531940","4oz Stainless Shot Pitcher","4.29","0.00","0","0.00","N"
"531619","7oz Plastic Water Cups x 1000","14.99","0.00","0","10.00","N"
"538133","Americas Range - New Jersey Blend - 6KG","38.99","0.00","0","0.00","N"
"531718","Americas Range - New Jersey Filter Coffee","24.99","0.00","2","21.99","N"
"538585","Aromo - COLOMBIAN - 62mm Senseo Compatible Coffee Pods","24.99","0.00","2","19.99","N"
"538586","Aromo - KENYAN - 62mm Senseo Compatible Coffee Pods","24.99","0.00","2","19.99","N"
"538584","Aromo - SUMATRA - 62mm Senseo Compatible Coffee Pods","24.99","0.00","2","19.99","N"
"531666","Banana Smoothie Mix - 1 Ltr","4.49","0.00","0","0.00","Y"
"547535","BARISTA Double Wall Paper Coffee Cups & Lids","32.99","0.00","0","0.00","N"
"531579","Belgian Dark Chocolate Shavings - 500g","6.79","0.00","0","0.00","Y"
"531770","Benders Milano Barrier Paper Cups & Lids","39.99","0.00","0","0.00","N"
"540296","Bendy Straws x 250","1.29","0.00","0","0.00","Y"
"544257","Bensdorp FairTrade Single Origin Peruvian Hot Chocolate","4.99","0.00","0","0.00","Y"
"531911","Beverage Scoops - Shakes, Frappes, Chocolate","0.79","0.00","0","0.00","N"
"531631","Biodegradable Coffee Cups & Lids","49.99","0.00","0","0.00","N"
"547334","Biodegradable Wooden Cutlery","2.99","0.00","0","0.00","Y"
"531965","Birchall Camomile Prism Tea Bags","4.09","0.00","0","0.00","Y"
"545991","Birchall Darjeeling Prism Tea Bags","4.99","0.00","0","0.00","Y"
"531660","Birchall Earl Grey Prism Tea Bags","4.09","0.00","0","0.00","Y"
"540984","Birchall FairTrade Earl Grey Tea Bags","3.79","0.00","0","0.00","N"
"540985","Birchall FairTrade English Breakfast Tea Bags","3.79","0.00","0","0.00","N"
"540948","Birchall Great Rift Breakfast Blend Prism Tea Bags","4.09","0.00","0","0.00","Y"
"531970","Birchall Great Rift Decaf Prism Tea Bags","3.09","0.00","0","0.00","Y"
"540953","Birchall Green Tea & Peach Prism Tea Bags","3.09","0.00","0","0.00","Y"
"540952","Birchall Green Tea Prism Tea Bags","4.09","0.00","0","0.00","Y"
"531969","Birchall Lemongrass & Ginger Prism Tea Bags","4.09","0.00","0","0.00","Y"
"540950","Birchall Organic Redbush Prism Tea Bags","4.09","0.00","0","0.00","Y"
"540951","Birchall Peppermint Prism Tea Bags","3.09","0.00","0","0.00","Y"
"541078","Birchall Premium Teas - Starter Kit","24.99","0.00","0","10.00","N"
"540949","Birchall Red Berry & Flower Prism Tea Bags","4.09","0.00","0","0.00","Y"
"545993","Birchall Virunga Chai Prism Tea Bags","4.99","0.00","0","0.00","Y"
"531976","Black Triple Wall Ripple Cups & Lids","32.99","0.00","0","0.00","Y"
"531921","Blackberry & Blueberry Smoothie Mix - 1 Ltr","4.49","0.00","0","0.00","Y"
"531859","Blendtec ABC Commercial Blender","1149.00","0.00","2","979.00","N"
"531900","Blendtec Chef 775 Commercial Blender","749.99","0.00","2","0.00","N"
"531669","Blendtec Connoisseur 825 Q Series Blender","1199.95","0.00","2","899.99","N"
"531605","Blendtec Jug Rapid Rinser","224.49","0.00","2","188.88","N"
"531726","Blendtec Jugs","79.99","0.00","0","0.00","Y"
"531954","Blendtec Motor Enclosure","164.99","0.00","0","0.00","N"
"539448","Blendtec Rapid Rinse Station","449.99","0.00","2","395.00","N"
"531925","Blendtec Sound Enclosure","169.99","0.00","0","0.00","N"
"531991","Blendtec Stealth Commercial Blender","1649.99","0.00","2","1249.95","N"
"531874","Blendtec Twist Jar","134.49","0.00","0","0.00","Y"
"538885","Blendtec Wildside Plus Five Side Jar","129.99","0.00","0","0.00","Y"
"531674","Blendtec Xpress EZ600 Commercial Blender","599.99","0.00","2","499.99","N"
"535844","Blendtec Yellow Jar & Lid","92.49","0.00","0","0.00","Y"
"532025","Bonito Vanilla Spoon Biscuits x 300","9.79","0.00","0","0.00","Y"
"531802","Borders Biscuits - 100 Twin Packs","22.99","0.00","0","0.00","Y"
"541122","Boutique Double Wall Paper Coffee Cups & Lids","29.99","0.00","0","0.00","Y"
"531749","Bravilor Bolero XL Coffee Machine","1499.00","0.00","0","20.00","N"
"531767","Bravilor Bulk Brewers","1695.00","0.00","0","20.00","N"
"531892","Bravilor Cleaner Sachet - Green","1.00","0.00","0","0.00","Y"
"531734","Bravilor Filter Pan & Spring","19.99","0.00","0","7.00","N"
"531848","Bravilor Furento Airpot - 2.2 Litre","64.99","0.00","0","0.00","Y"
"531847","Bravilor Glass Jug - 1.7 Litre","13.99","0.00","0","0.00","Y"
"531743","Bravilor HWA - Hot Water Boilers","449.00","0.00","0","20.00","N"
"531698","Bravilor Jug Hot Plate","114.99","0.00","0","5.00","Y"
"531765","Bravilor Matic 2","479.99","0.00","0","20.00","N"
"531766","Bravilor Matic Twin","1049.99","0.00","0","20.00","N"
"531763","Bravilor Mondo Filter Coffee Machine","369.99","0.00","0","18.00","N"
"531764","Bravilor Mondo Twin","729.99","0.00","0","20.00","N"
"531806","Bravilor Novo With Free Coffee Offer","229.99","0.00","2","169.95","Y"
"531703","Bravilor Solo & Free Chocolate Offer","599.99","0.00","0","20.00","N"
"531796","Bravilor: RLX 31","1179.99","0.00","0","20.00","N"
"531810","Bravilor: RLX 41","1549.99","0.00","0","20.00","N"
"531803","Bravilor: RLX 575","1999.99","0.00","0","20.00","N"
"531804","Bravilor: RLX 585","2349.99","0.00","0","20.00","N"
"531812","Bravilor: RLX 75","1399.99","0.00","0","20.00","N"
"531811","Bravilor: RLX 76","1249.99","0.00","0","20.00","N"
"542866","Brita Finest Purity Water Filters","49.99","0.00","0","0.00","N"
"542862","Brita Purity C Water Filters","34.99","0.00","0","0.00","N"
"539434","Brown Sugar Sachets x 1000","6.99","0.00","2","0.00","Y"
"531578","Byron Bay Accessories","0.05","0.00","0","0.00","N"
"531636","Byron Bay Cafe Cookie Deal","79.99","0.00","2","59.99","N"
"531586","Byron Bay Cafe Cookies x6","4.99","0.00","2","4.49","Y"
"535587","Cadburys Drinking Chocolate 2KG","13.49","0.00","0","0.00","Y"
"531762","Cafe Maid Cream Pots","6.29","0.00","0","0.00","Y"
"531580","Cafe Wipez Urnex Cleaning Wipes","4.99","0.00","0","0.00","Y"
"531593","Cafelat Knock Box - Stainless Steel","42.99","0.00","0","0.00","N"
"531955","Cafetiere Coffee Press","12.99","0.00","0","0.00","N"
"537088","Canadian Hot Spiced Apple Drink","32.49","0.00","0","0.00","Y"
"531705","Cappuccino Cups & Saucers x6","25.00","0.00","0","0.00","Y"
"531654","Cardboard Coffee Cup Clutches","2.49","0.00","0","5.00","N"
"531657","Catalina Latte Glasses","34.99","0.00","0","0.00","Y"
"541160","Champion Soya Milk Substitute Pots x 80","6.29","0.00","0","0.00","Y"
"540947","Cherry and Passionfruit Smoothie Mix - 1 Ltr","4.49","0.00","0","15.00","Y"
"540826","Chicopee Coffee Towels x 10","4.99","0.00","0","0.00","Y"
"531676","Chocolate Dusting Sprinkler","2.99","0.00","0","0.00","Y"
"531677","Chocolate Flakes Sprinkler","2.99","0.00","0","0.00","Y"
"540827","Chocolate Frothing Jug - 2 Sizes","12.99","0.00","0","0.00","Y"
"531590","Cinnamon Coffee Sprinkler","2.99","0.00","0","0.00","Y"
"537132","Cinnamon Sticks & Star Anise","1.99","0.59","0","0.00","Y"
"537983","Cioccolato Suprema Hot Chocolate 2KG","13.99","0.00","2","11.49","Y"
"542810","Claris Ultra Water Filters","89.99","0.00","0","0.00","N"
"535384","Classic Blend Filter Coffee Sachets","19.99","0.00","0","0.00","Y"
"536772","Classic Creem Choc 10 x 1 Kilo","32.99","0.00","0","0.00","Y"
"531910","Classic Freeze Dried Vending Coffee 10 x 300g","54.99","0.00","0","0.00","Y"
"531846","Coffee Filter Papers x 250","4.99","0.00","0","0.00","Y"
"543897","Coffee Fresh Vacuum Can 500g","19.99","0.00","2","14.99","Y"
"531727","Coffee Stencils","4.99","0.00","0","0.00","Y"
"531714","Colombian Supremo Filter Coffee","27.49","0.00","0","0.00","Y"
"531866","Condiment Dispenser","34.99","0.00","0","0.00","Y"
"547719","Cosy Organic Matcha Green Tea Powder 100g","5.69","0.00","0","0.00","Y"
"540032","Crawfords Mini Assortment Packs x 100","19.99","0.00","0","0.00","Y"
"531786","Crunchy Italian Amaretto Biscuits x 300","10.99","0.00","2","0.00","Y"
"531821","Cup Carry Trays","15.99","0.00","0","0.00","Y"
"540891","Daelmans Jumbo Caramel Stroop Waffles x 36","13.49","0.00","0","15.00","N"
"539807","Dairystix Semi Skimmed UHT Milk Sticks x 250","6.99","0.00","0","0.00","Y"
"537741","DART EPS Foam Cups & Lids","20.99","0.00","0","3.00","N"
"531612","Decaf Cafetiere Sachets x 100","38.99","0.00","0","0.00","Y"
"538888","Dinkum Cappuccino Cool Mix 1.25 KG","34.99","0.00","2","0.00","Y"
"531637","Dinkum Shmoo MilkShake Starter Kit","349.95","0.00","2","299.99","N"
"531903","Dinkum Shmoo Stainless Steel Mixer Jar","19.99","0.00","0","0.00","Y"
"531689","Disposable Coffee Cup Lids","22.49","0.00","0","0.00","Y"
"538919","Double Coffee Pods - 14g - ARABICA x 50","18.99","0.00","2","14.99","N"
"539430","Double Coffee Pods - 14g - DECAF x 50","18.99","0.00","0","0.00","Y"
"531649","Drizzle Bottle","2.99","0.00","0","0.00","Y"
