Old labelvalue Id,New labelvalue id
287,351
286,352
285,353
185,354
186,355
187,356
188,357
189,358
190,359
191,360
192,361
193,362
194,363
195,364
196,365
197,366
198,367
199,368
200,369
201,370
202,371
203,372
204,373
205,374
206,375
207,376
208,377
209,378
210,379
211,380
212,381
213,382
214,383
215,384
216,385
217,386
218,387
219,388
220,389
221,390
292,391
222,392
223,393
224,394
225,395
226,396
227,397
228,398
229,399
230,400
231,401
232,402
233,403
234,404
293,405
294,406
