"Manufacturer part code","Long Description (used in Web & AMO)","Website Link 1","Website Link 2","Website Link 3","Website Link 4","Website Link 5","Website Link 6","Website Link 7","Website Link 8","Website Link 9","Website Link 10","Website Link 11",
"UK660KDNALM - Almond
UK660KDNOAT - Oatmeal
UK660KDBUR - Burgundy
UK660KDSPR - Spruce
UK660KDAQA - Aqua","Pride 660 Mini Lounger","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-660-mini-lounger-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-660-mini-lounger-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-660-mini-lounger-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-660-mini-lounger-riser-recliner-04.jpg",,,,,,,,
"Warwick","Warwick","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/warwick-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/warwick-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/warwick-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/warwick-riser-recliner-04.jpg",,,,,,,,
"Oxford","Oxford","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-05.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-06.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-07.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-08.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-09.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-10.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-11.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/oxford-riser-recliner-12.jpg"
"ALC2217","Restwell Sven Leather","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/sven-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/sven-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/sven-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/sven-riser-recliner-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/sven-riser-recliner-05.jpg",,,,,,,
"UKT3MBSHFG - Blush
UKT3MNUTFG - Nutmeg
UKT3MOBLFG - Ocean Blue
UKT3MFAWFG - Fawn
UKT3MMOSFG - Moss Green","Pride T3","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-05.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-06.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-07.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-08.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-t3-riser-recliner-09.jpg",,,
"UK670KDNALM - Almond
UK670KDNOAT - Oatmeal
UK670KDSPR - Spruce
UK670KDBUR - Burgundy
UK670KDAQA - Aqua","Pride 670 Chairbed","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-670-chairbed-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-670-chairbed-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-670-chairbed-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-670-chairbed-04.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/pride-670-chairbed-05.jpg",,,,,,,
"CDL8","Denver","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/denver-riser-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/denver-riser-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/denver-riser-recliner-03.jpg",,,,,,,,,
"758SPBC - Waterfall Back, Small, Seasons Cocoa
758SCPC - Waterfall Back, Small, Patchwork Cocoa
758SCPO - Waterfall Back, Small, Patchwork Oyster
758SPBO - Waterfall Back, Small, Seasons Oyster
758SPLC - Waterfall Back, Small, Leaf Cocoa
758SPLO - Waterfall Back, Small, Leaf Oyster
758SSBU - Waterfall Back, Small, Seasons Burgundy
758SSFR - Waterfall Back, Small, Seasons Forest
758SVBC - Waterfall Back, Small, Cherry
758SVLT - Waterfall Back, Small, Jade
757SPBO - Button Back, Small, Season Oyster
757SPLC - Button Back, Small, Leaf Cocoa
757SPLO - Button Back, Small, Leaf Oyster
757SSBU - Button Back, Small, Seasons Burgundy
757SSFR - Button Back, Small, Seasons Forest
757SVBC - Button Back, Small, Cherry
757SVLT - Button Back, Small, Jade
757SPBC - Button Back, Small, Seasons Cocoa 
","Cosi Chair Ambassador (Small)","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-04.jpg",,,,,,,,
"758MPBC - Waterfall Back, Small, Seasons Cocoa
758MCPC - Waterfall Back, Small, Patchwork Cocoa
758MCPO - Waterfall Back, Small, Patchwork Oyster
758MPBO - Waterfall Back, Small, Seasons Oyster
758MPLC - Waterfall Back, Small, Leaf Cocoa
758MPLO - Waterfall Back, Small, Leaf Oyster
758MSBU - Waterfall Back, Small, Seasons Burgundy
758MSFR - Waterfall Back, Small, Seasons Forest
758MVBC - Waterfall Back, Small, Cherry
758MVLT - Waterfall Back, Small, Jade
757MPBO - Button Back, Small, Season Oyster
757MPLC - Button Back, Small, Leaf Cocoa
757MPLO - Button Back, Small, Leaf Oyster
757MSBU - Button Back, Small, Seasons Burgundy
757MSFR - Button Back, Small, Seasons Forest
757MVBC - Button Back, Small, Cherry
757MVLT - Button Back, Small, Jade
757MPBC - Button Back, Small, Seasons Cocoa 
","Cosi Chair Ambassador (Medium)","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-04.jpg",,,,,,,,
"758LPBC - Waterfall Back, Small, Seasons Cocoa
758LCPC - Waterfall Back, Small, Patchwork Cocoa
758LCPO - Waterfall Back, Small, Patchwork Oyster
758LPBO - Waterfall Back, Small, Seasons Oyster
758LPLC - Waterfall Back, Small, Leaf Cocoa
758LPLO - Waterfall Back, Small, Leaf Oyster
758LSBU - Waterfall Back, Small, Seasons Burgundy
758LSFR - Waterfall Back, Small, Seasons Forest
758LVBC - Waterfall Back, Small, Cherry
758LVLT - Waterfall Back, Small, Jade
757LPBO - Button Back, Small, Season Oyster
757LPLC - Button Back, Small, Leaf Cocoa
757LPLO - Button Back, Small, Leaf Oyster
757LSBU - Button Back, Small, Seasons Burgundy
757LSFR - Button Back, Small, Seasons Forest
757LVBC - Button Back, Small, Cherry
757LVLT - Button Back, Small, Jade
757LPBC - Button Back, Small, Seasons Cocoa 
","Cosi Chair Ambassador (Large)","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-03.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/ambassador-recliner-04.jpg",,,,,,,,
"757SBSKIN - Button Back, Small, Brisa, Buckskin
757SCBEAN - Button Back, Small, Brisa, Coffee Bean
757SHHOCK - Button Back, Small, Brisa, Hollyhock
758SBSKIN - Waterfall Back, Small, Brisa, Buckskin
758SCOFFB - Waterfall Back, Small, Brisa, Coffee Bean
758SHHOCK - Waterfall Back, Small, Brisa, Hollyhock","Cosi Chair Ambassador Brisa (Small)","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-03.jpg",,,,,,,,,
"757MBSKIN - Button Back, Small, Brisa, Buckskin
757MCBEAN - Button Back, Small, Brisa, Coffee Bean
757MHHOCK - Button Back, Small, Brisa, Hollyhock
758MBSKIN - Waterfall Back, Small, Brisa, Buckskin
758MCOFFB - Waterfall Back, Small, Brisa, Coffee Bean
758MHHOCK - Waterfall Back, Small, Brisa, Hollyhock","Cosi Chair Ambassador Brisa (Medium)","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-03.jpg",,,,,,,,,
"757LBSKIN - Button Back, Small, Brisa, Buckskin
757LCBEAN - Button Back, Small, Brisa, Coffee Bean
757LHHOCK - Button Back, Small, Brisa, Hollyhock
758LBSKIN - Waterfall Back, Small, Brisa, Buckskin
758LCOFFB - Waterfall Back, Small, Brisa, Coffee Bean
758LHHOCK - Waterfall Back, Small, Brisa, Hollyhock","Cosi Chair Ambassador Brisa (Large)","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-02.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-ambassador-brisa-03.jpg",,,,,,,,,
"PR125PHC - Classic, Herringbone Cocoa
PR125PHO - Classic, Herringbone Oyster","Cosi Chair Classic","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-chair-classic-01.jpg","http://www.carecomobility.co.uk/products/rise-recliners/riser-recliners/cosi-chair-classic-01.jpg",,,,,,,,,,
