Old productid Id,New product Id
494946,532493
514296,532494
492647,532495
492648,532496
492649,532497
523901,532498
524062,532499
492690,532500
525665,532501
523644,532502
525619,532503
523645,532504
464577,532505
525576,532506
493985,532507
495562,532508
490024,532509
525700,532510
494322,532511
525611,532512
490094,532513
492776,532514
527517,532515
496223,532516
524197,532517
494669,532518
494670,532519
494673,532520
494333,532521
493696,532522
493698,532523
493699,532524
493700,532525
524195,532526
524196,532527
494745,532528
490590,532529
518364,532530
492540,532531
527389,532532
527390,532533
527391,532534
527392,532535
527393,532536
527394,532537
527395,532538
527396,532539
527397,532540
527398,532541
527399,532542
527400,532543
527401,532544
527402,532545
527403,532546
527404,532547
527405,532548
527406,532549
527407,532550
527408,532551
527409,532552
527410,532553
527411,532554
527412,532555
527413,532556
527414,532557
527415,532558
527416,532559
527417,532560
527418,532561
527446,532562
527447,532563
527448,532564
493701,532565
495487,532566
495488,532567
525772,532568
495468,532569
495473,532570
490587,532571
495456,532572
495457,532573
512114,532574
518504,532575
518505,532576
494077,532577
494082,532578
527419,532579
494805,532580
494771,532581
494772,532582
495777,532583
495775,532584
494775,532585
492517,532586
494064,532587
495335,532588
527373,532589
527594,532590
527595,532591
527596,532592
527597,532593
527598,532594
527599,532595
494089,532596
494092,532597
493887,532598
493885,532599
495482,532600
495483,532601
495485,532602
494804,532603
492629,532604
492630,532605
492750,532606
489956,532607
494999,532608
494209,532609
523520,532610
523522,532611
524911,532612
525448,532613
527570,532614
527571,532615
527572,532616
527573,532617
527574,532618
527575,532619
527576,532620
527577,532621
522663,532622
525315,532623
63163,532624
527533,532625
490132,532626
524908,532627
523517,532628
490599,532629
527532,532630
521090,532631
515038,532632
494763,532633
493695,532634
492789,532635
492791,532636
492792,532637
522642,532638
522643,532639
525341,532640
527518,532641
527519,532642
518560,532643
524904,532644
493888,532645
515043,532646
425561,532647
63176,532648
523899,532649
524879,532650
523456,532651
494556,532652
494557,532653
494644,532654
494558,532655
494560,532656
494439,532657
518590,532658
525575,532659
490650,532660
490652,532661
523584,532662
496226,532663
518261,532664
523898,532665
524348,532666
527431,532667
527432,532668
495553,532669
518686,532670
518541,532671
524892,532672
516566,532673
516567,532674
489871,532675
512118,532676
495682,532677
495683,532678
495684,532679
524890,532680
518550,532681
518559,532682
525699,532683
524886,532684
527516,532685
515839,532686
518489,532687
524912,532688
489916,532689
489917,532690
489919,532691
489920,532692
511087,532693
489913,532694
490059,532695
516568,532696
527483,532697
527484,532698
527485,532699
527482,532700
511089,532701
511090,532702
490021,532703
516441,532704
527364,532705
527365,532706
527366,532707
527367,532708
490250,532709
518573,532710
518574,532711
518569,532712
525368,532713
518561,532714
527537,532715
516164,532716
525613,532717
525518,532718
524883,532719
522665,532720
490116,532721
490115,532722
525435,532723
493766,532724
490032,532725
527539,532726
518540,532727
494847,532728
494849,532729
494856,532730
524917,532731
524915,532732
518542,532733
527515,532734
525666,532735
523583,532736
527437,532737
527438,532738
520694,532739
524313,532740
489872,532741
524363,532742
523893,532743
523900,532744
490133,532745
490136,532746
527541,532747
525344,532748
523118,532749
518535,532750
425555,532751
518539,532752
518563,532753
495436,532754
523119,532755
524903,532756
494164,532757
494167,532758
527422,532759
527423,532760
524371,532761
527535,532762
527536,532763
527534,532764
525612,532765
492790,532766
527470,532767
525667,532768
527477,532769
525120,532770
525567,532771
524346,532772
523902,532773
490406,532774
494210,532775
490666,532776
490667,532777
495497,532778
523451,532779
518571,532780
518572,532781
518570,532782
495509,532783
525610,532784
494794,532785
494201,532786
523897,532787
523924,532788
495513,532789
495515,532790
495516,532791
514621,532792
495577,532793
495578,532794
489954,532795
489856,532796
494032,532797
494033,532798
496581,532799
490058,532800
490054,532801
490057,532802
490037,532803
490046,532804
490056,532805
490236,532806
490239,532807
