Old Review Id,New Review Id
105,373
109,374
120,375
162,376
168,377
169,378
174,379
175,380
179,381
180,382
182,383
183,384
184,385
185,386
186,387
187,388
188,389
189,390
190,391
193,392
194,393
195,394
196,395
198,396
199,397
200,398
201,399
202,400
203,401
204,402
205,403
206,404
207,405
208,406
209,407
210,408
211,409
212,410
213,411
214,412
216,413
217,414
218,415
219,416
220,417
221,418
222,419
223,420
224,421
225,422
226,423
227,424
228,425
243,426
247,427
251,428
252,429
258,430
259,431
261,432
262,433
263,434
264,435
265,436
266,437
267,438
268,439
273,440
275,441
276,442
327,443
